id,n_drivers,n_rfd,driver_driver_similarity,rfd_rfd_similarity,driver_rfd_similarity
2089,2,1,0.24968397617340088,,0.327494740486145
2092,1,2,,0.2700313925743103,0.451063334941864
2094,3,2,0.2675524055957794,0.4430333077907562,0.3197018802165985
2097,2,1,0.3657410144805908,,0.1540025770664215
2098,2,1,0.2810938060283661,,0.5065189003944397
2099,2,0,0.32309579849243164,,
2100,1,1,,,0.20042484998703003
2102,2,1,0.34254881739616394,,0.6712744235992432
2103,2,1,0.7976341843605042,,0.5297811627388
2105,1,3,,0.13188104331493378,0.2661742866039276
2107,2,4,0.7976341843605042,0.3420991599559784,0.4097481369972229
2109,2,3,0.2141977697610855,0.25354883074760437,0.24788016080856323
2110,2,2,0.462567001581192,0.31806516647338867,0.25424376130104065
2111,2,0,0.43245774507522583,,
2113,3,1,0.2894350588321686,,0.3203143775463104
2115,3,1,0.21595685184001923,,0.166580930352211
2117,1,1,,,0.3547813892364502
2121,3,2,0.4797225892543793,0.2180233597755432,0.28929463028907776
2122,2,3,0.2569018304347992,0.2880077660083771,0.2972245514392853
2124,1,0,,,
2125,2,4,0.36262446641921997,0.11480072140693665,0.16908913850784302
2130,3,3,0.25578007102012634,0.2248399257659912,0.2712947428226471
2131,3,0,0.42806553840637207,,
2133,2,3,0.35214176774024963,0.36689433455467224,0.3475470244884491
2135,2,0,0.5439625382423401,,
2136,1,4,,0.2513139545917511,0.28179502487182617
2137,2,3,0.2618538737297058,0.2863302230834961,0.2319038063287735
2141,1,0,,,
2142,3,2,0.2622223198413849,0.08620179444551468,0.2684362828731537
2143,2,0,0.32421454787254333,,
2147,1,1,,,0.32096225023269653
2148,2,0,0.4165782630443573,,
2149,1,0,,,
2150,3,3,0.6086821556091309,0.3037918508052826,0.362067848443985
2151,1,1,,,0.20814956724643707
2153,1,2,,0.22578100860118866,0.37856826186180115
2154,2,4,0.6416341066360474,0.3698350489139557,0.3000333309173584
2156,2,1,0.8073645234107971,,0.41123729944229126
2157,1,0,,,
2158,1,1,,,0.11696246266365051
2159,1,0,,,
2160,1,1,,,0.5009969472885132
2161,1,3,,0.14344893395900726,0.14321665465831757
2162,1,0,,,
2163,2,1,0.2829239070415497,,0.5278903841972351
2164,1,3,,0.338616281747818,0.21175526082515717
2167,1,4,,0.31850913166999817,0.49356940388679504
2168,1,0,,,
2169,1,0,,,
2170,2,1,0.3333834111690521,,0.06908556073904037
2171,3,1,0.3275502920150757,,0.29996874928474426
2173,3,3,0.26915207505226135,0.2806282937526703,0.06284041702747345
2175,2,2,0.39655670523643494,0.23368360102176666,0.2436949610710144
2176,2,2,0.6416341066360474,0.14695407450199127,0.3670817017555237
2177,1,1,,,0.15194672346115112
2183,3,2,0.4779096841812134,0.07442183792591095,0.21003848314285278
2184,2,2,0.16986149549484253,0.15909841656684875,0.23592662811279297
2185,2,1,0.25501492619514465,,0.41544926166534424
2186,1,0,,,
2187,3,0,0.38857078552246094,,
2188,2,3,0.3411627411842346,0.2942924499511719,0.33323147892951965
2189,2,2,0.3512408435344696,0.44221657514572144,0.2844918370246887
2193,2,0,0.45455873012542725,,
2194,1,1,,,0.4241400361061096
2195,2,0,0.45896193385124207,,
2196,1,3,,0.23792964220046997,0.3071574866771698
2200,2,3,0.31656384468078613,0.36541321873664856,0.2814813554286957
2201,2,2,0.23118534684181213,0.25135183334350586,0.2172147035598755
2202,1,1,,,0.5759420394897461
2208,2,0,0.45896193385124207,,
2210,1,2,,0.2872489392757416,0.5394495725631714
2211,2,4,0.4268978536128998,0.1788760870695114,0.3036186099052429
2212,1,2,,0.11960525810718536,0.3411417007446289
2214,1,4,,0.23756563663482666,0.36913585662841797
2217,2,0,0.6868069171905518,,
2219,2,4,0.5360933542251587,0.25843745470046997,0.4237558841705322
2222,2,1,0.6868069171905518,,0.20661389827728271
2223,1,3,,0.13665737211704254,0.3898526430130005
2224,1,1,,,0.16039440035820007
2226,1,3,,0.13179799914360046,0.2677585482597351
2227,1,3,,0.148004949092865,0.22361557185649872
2229,2,1,0.2632920444011688,,0.4010316729545593
2230,2,1,0.23115620017051697,,0.06044387072324753
2232,2,1,0.3285394310951233,,0.3100358247756958
2234,2,0,0.3673466742038727,,
2239,1,1,,,0.4793233871459961
2240,3,3,0.38888582587242126,0.21477799117565155,0.33354493975639343
2243,2,1,0.27459004521369934,,0.23608574271202087
2247,2,2,0.4319787919521332,0.5781852006912231,0.2441491186618805
2248,2,1,0.1840331107378006,,0.1776605248451233
2249,1,0,,,
2252,2,3,0.2803545594215393,0.4932035505771637,0.30676940083503723
2262,2,4,0.4165782630443573,0.21538597345352173,0.22708868980407715
2265,3,1,0.5978671908378601,,0.25706636905670166
2266,2,4,0.6868069171905518,0.23322264850139618,0.3053416311740875
2268,1,0,,,
2271,3,4,0.24407421052455902,0.16003690659999847,0.16383576393127441
2274,1,1,,,0.06371482461690903
2275,2,2,0.031258661299943924,0.0667567104101181,0.1464470624923706
2277,2,0,0.25679031014442444,,
2286,2,1,0.16883233189582825,,0.28243759274482727
2290,1,0,,,
2299,2,2,0.22767911851406097,0.23366732895374298,0.2335769534111023
2300,1,2,,0.05805695056915283,0.2335941195487976
2301,1,2,,0.2133965939283371,0.17940454185009003
2304,1,2,,0.19555887579917908,0.2121703326702118
2305,2,1,0.25393348932266235,,0.6269667148590088
2307,3,3,0.4109547436237335,0.2742282450199127,0.3565296530723572
2308,2,1,0.08624474704265594,,0.06901285797357559
2309,2,3,0.17090439796447754,0.21964313089847565,0.08698634058237076
2310,2,3,0.13632901012897491,0.25777557492256165,0.23419491946697235
2312,2,1,0.44656601548194885,,0.46397650241851807
2313,1,1,,,0.3322831392288208
2315,3,3,0.30618682503700256,0.1719633787870407,0.16905443370342255
2317,2,2,0.48747724294662476,0.290653258562088,0.49626296758651733
2318,2,5,0.12468037009239197,0.23530206084251404,0.2476876974105835
2321,1,2,,0.10484777390956879,0.27368444204330444
2323,2,3,0.4770468771457672,0.42497333884239197,0.6253278851509094
2324,2,1,0.2165476381778717,,0.06539903581142426
2325,2,2,0.18244990706443787,0.0610051304101944,0.18620195984840393
2328,2,1,0.13318440318107605,,0.1970488429069519
2331,2,2,0.3755681812763214,0.23838971555233002,0.2405373752117157
2332,2,2,0.6868069171905518,0.2491513192653656,0.3364306390285492
2333,2,1,0.6868069171905518,,0.32516175508499146
2334,1,4,,0.21982188522815704,0.26371002197265625
2336,1,2,,0.18548288941383362,0.46369707584381104
2337,2,2,0.6868069171905518,0.2384652942419052,0.32699665427207947
2338,1,1,,,0.18304818868637085
2339,3,1,0.4686417281627655,,0.06252437084913254
2340,2,3,0.6868069171905518,0.21607418358325958,0.2945237159729004
2341,1,2,,0.4515053629875183,0.15119704604148865
2361,2,3,0.07568138837814331,0.2341819405555725,0.3819279968738556
2363,1,2,,0.17787276208400726,0.15003742277622223
2364,1,1,,,0.2886279225349426
2365,2,1,0.3592452108860016,,0.16324561834335327
2366,2,0,0.3274341821670532,,
2367,1,2,,0.12166553735733032,0.2365345060825348
2368,1,1,,,0.05218229442834854
2369,1,2,,0.24425764381885529,0.5207329392433167
2373,1,1,,,0.1333208829164505
2374,1,1,,,0.4012439250946045
2375,2,2,0.14414703845977783,0.04551677033305168,0.25589612126350403
2376,2,2,0.2934047281742096,0.034115567803382874,0.25670966506004333
2377,2,2,0.23064573109149933,0.3064024746417999,0.3325384259223938
2378,1,2,,0.3983526825904846,0.4425022304058075
2380,2,2,0.32189759612083435,0.19257372617721558,0.3914630711078644
2381,1,3,,0.38094964623451233,0.2045578509569168
2386,1,1,,,0.6664601564407349
2388,1,2,,0.21629464626312256,0.11677724868059158
2389,1,1,,,0.20510652661323547
2391,1,4,,0.29375776648521423,0.2603881061077118
2393,1,2,,0.31572863459587097,0.14294016361236572
2394,1,1,,,0.63669753074646
2397,1,1,,,0.20184803009033203
2399,2,2,0.18856281042099,0.06954355537891388,0.31461068987846375
2400,2,3,0.23839730024337769,0.1917843073606491,0.2594015896320343
2402,1,5,,0.281261146068573,0.10240961611270905
2403,2,2,0.5398819446563721,0.4017269015312195,0.18245148658752441
2404,1,2,,0.1689201146364212,0.37278440594673157
2405,2,0,0.23667696118354797,,
2406,2,2,0.20405952632427216,0.3735761046409607,0.28143808245658875
2408,3,4,0.1809641271829605,0.3147362172603607,0.24758462607860565
2409,2,3,0.43378564715385437,0.2697489559650421,0.23699146509170532
2410,2,4,0.29538679122924805,0.15155594050884247,0.16302308440208435
2411,1,3,,0.17822939157485962,0.23621995747089386
2414,1,2,,0.008969534188508987,0.46530160307884216
2417,2,1,0.4117894172668457,,0.2233847677707672
2418,1,1,,,0.5682668685913086
2419,2,4,0.24995167553424835,0.07255924493074417,0.18521374464035034
2421,2,0,0.35659006237983704,,
2422,1,2,,0.2930592894554138,0.28622788190841675
2424,2,2,0.2136041522026062,0.2834267020225525,0.18422824144363403
2431,1,1,,,0.31422027945518494
2432,1,1,,,0.2658449113368988
2435,1,1,,,0.5572317838668823
2436,2,0,-0.027333535254001617,,
2437,1,0,,,
2438,1,3,,0.19146031141281128,0.45607998967170715
2440,2,2,0.1557261347770691,0.21798673272132874,0.17556002736091614
2441,1,1,,,0.16310331225395203
2442,2,2,0.39291512966156006,0.16319158673286438,0.3082767724990845
2445,1,0,,,
2446,2,3,0.30265605449676514,0.2613917589187622,0.29643282294273376
2448,1,2,,0.2868804633617401,0.3713565766811371
2449,1,0,,,
2450,2,2,0.22585166990756989,0.3559684157371521,0.17385722696781158
2451,2,2,0.20112189650535583,0.06276935338973999,0.23610876500606537
2452,2,2,0.18110552430152893,0.13361050188541412,0.16078343987464905
2453,2,2,0.1979987621307373,0.21314552426338196,0.37028399109840393
2454,2,1,0.2806897759437561,,0.2812468409538269
2455,1,4,,0.19736038148403168,0.1839194893836975
2457,2,2,0.11811081320047379,0.2894565463066101,0.17581725120544434
2458,2,4,0.1732717603445053,0.19563044607639313,0.1548350751399994
2462,1,2,,0.09941098093986511,0.24689695239067078
2464,2,2,0.2355860322713852,0.1735476851463318,0.150671124458313
2466,1,3,,0.21271224319934845,0.38341185450553894
2468,2,1,0.21191279590129852,,0.3308764696121216
2469,2,2,0.40731942653656006,0.4614641070365906,0.43588176369667053
2476,2,1,0.32726824283599854,,0.17525053024291992
2478,1,2,,0.42886435985565186,0.40616559982299805
2479,1,0,,,
2480,1,1,,,0.5953725576400757
2481,1,0,,,
2485,1,0,,,
2486,1,1,,,0.0662001296877861
2487,2,2,0.24682550132274628,0.19759763777256012,0.2017955482006073
2488,2,3,0.3465586304664612,0.16281890869140625,0.3257349133491516
2489,1,2,,0.22809065878391266,0.33666545152664185
2490,2,3,0.13535423576831818,0.3896905183792114,0.19048120081424713
2492,1,1,,,0.5163221955299377
2494,2,5,0.23130609095096588,0.26246529817581177,0.2419072836637497
2495,2,2,0.5142282247543335,0.26096126437187195,0.4285156726837158
2496,1,0,,,
2498,1,0,,,
2499,2,3,0.32030045986175537,0.13414926826953888,0.18005774915218353
2502,2,2,0.18522098660469055,0.4825456738471985,0.08788326382637024
2504,2,2,0.06858344376087189,0.32846784591674805,0.2057754397392273
2505,1,3,,0.34084805846214294,0.4342995584011078
2506,1,3,,0.09630310535430908,0.14721162617206573
2507,1,2,,0.31731176376342773,0.30947214365005493
2508,1,1,,,0.08973734080791473
2509,1,1,,,0.6748411655426025
2510,1,1,,,0.35772889852523804
2511,1,1,,,0.4427311420440674
2513,2,2,0.2891961336135864,0.0859743133187294,0.13971157371997833
2514,1,1,,,0.037727952003479004
2515,2,2,0.6416341066360474,0.11678427457809448,0.36523377895355225
2518,1,3,,0.3619166314601898,0.46004605293273926
2519,1,1,,,0.37087011337280273
2521,1,3,,0.18914778530597687,0.2940954864025116
2523,1,1,,,0.24300041794776917
2525,1,3,,0.23803935945034027,0.18244536221027374
2526,1,1,,,0.5365899801254272
2527,1,1,,,0.109124556183815
2528,2,4,0.3547672927379608,0.2633921802043915,0.29742926359176636
2529,1,1,,,0.09019220620393753
2530,1,1,,,0.6028918623924255
2531,2,2,0.1869969666004181,0.09899880737066269,0.10096687823534012
2532,1,2,,0.5701199173927307,0.45073699951171875
2533,1,2,,0.2723812758922577,0.11498066782951355
2535,1,0,,,
2536,1,0,,,
2537,1,2,,0.4347233772277832,0.31899553537368774
2538,1,0,,,
2539,2,1,0.08895871788263321,,0.10156366229057312
2540,2,2,0.3291875720024109,0.23647351562976837,0.19225282967090607
2541,1,0,,,
2542,1,0,,,
2545,1,1,,,0.5962588787078857
2547,1,1,,,0.19959333539009094
2548,1,2,,0.22572679817676544,0.3535093069076538
2549,2,0,0.22158923745155334,,
2550,1,3,,0.26267245411872864,0.17924682796001434
2552,1,0,,,
2556,1,0,,,
2558,2,1,0.47501319646835327,,0.28176653385162354
2559,2,2,0.3021732568740845,0.47336164116859436,0.266178697347641
2560,1,3,,0.21027420461177826,0.17200513184070587
2563,2,1,0.337647020816803,,0.45369064807891846
2564,1,2,,0.17332033812999725,0.29630547761917114
2565,1,4,,0.22529412806034088,0.40096327662467957
2566,1,1,,,0.6371618509292603
2571,1,4,,0.3030743896961212,0.27457520365715027
2573,1,2,,0.19974252581596375,0.2289067506790161
2575,1,1,,,0.4258628487586975
2576,1,3,,0.2735227942466736,0.36014676094055176
2577,1,1,,,0.30291420221328735
2578,1,1,,,0.2896779775619507
2579,1,3,,0.2712022066116333,0.35290977358818054
2580,1,3,,0.18240781128406525,0.27360451221466064
2581,2,4,0.3656028211116791,0.5410661697387695,0.3225165009498596
2584,2,4,0.38969162106513977,0.21103568375110626,0.27574777603149414
2585,2,2,0.4365578293800354,0.44602054357528687,0.19618742167949677
2586,2,4,0.49857938289642334,0.2056945562362671,0.2347736656665802
2588,1,1,,,0.1666162610054016
2590,1,1,,,0.1941911280155182
2591,1,4,,0.3077950179576874,0.42761754989624023
2593,1,1,,,0.14942993223667145
2595,1,1,,,0.17222844064235687
2596,2,1,0.5615283250808716,,0.12208569049835205
2598,1,3,,0.44169187545776367,0.19228899478912354
2599,2,5,0.3469308614730835,0.20694951713085175,0.23943087458610535
2600,2,1,0.3499133586883545,,0.40106135606765747
2601,1,2,,0.18121600151062012,0.5906080007553101
2602,1,1,,,0.2857186794281006
2604,1,0,,,
2605,1,3,,0.22836053371429443,0.31020215153694153
2606,1,2,,0.18370062112808228,0.2131768763065338
2608,1,2,,0.030566059052944183,0.1982906460762024
2609,1,0,,,
2611,1,1,,,0.7996785640716553
2612,1,3,,0.21091784536838531,0.2342728227376938
2613,1,2,,0.5313963890075684,0.11572298407554626
2615,1,1,,,0.5186281800270081
2619,2,3,0.3257596492767334,0.20519758760929108,0.20340095460414886
2620,2,0,0.11930854618549347,,
2621,1,0,,,
2622,2,1,0.5959861874580383,,0.13339173793792725
2623,1,2,,0.24720998108386993,0.29069453477859497
2624,2,1,0.11095539480447769,,0.19820865988731384
2625,1,0,,,
2626,1,1,,,0.43768221139907837
2627,1,2,,0.39683109521865845,0.35098007321357727
2628,2,1,0.41092151403427124,,0.047465406358242035
2629,1,2,,0.23898030817508698,0.3983002007007599
2633,1,2,,0.21120351552963257,0.2098192572593689
2634,1,3,,0.3203107416629791,0.28805598616600037
2635,1,3,,0.21538281440734863,0.2307884246110916
2636,1,4,,0.22624482214450836,0.27075302600860596
2638,1,0,,,
2641,1,3,,0.3325008451938629,0.39810168743133545
2642,1,4,,0.34262096881866455,0.4140756130218506
2643,1,2,,0.5157278776168823,0.5201700925827026
2644,1,2,,0.29811161756515503,0.29603615403175354
2646,1,1,,,0.38220322132110596
2647,1,3,,0.22307568788528442,0.2764742374420166
2648,1,2,,0.2576008141040802,0.2511248290538788
2649,2,2,0.33473578095436096,0.1847103238105774,0.27150875329971313
2650,1,4,,0.18042314052581787,0.26725679636001587
2651,1,4,,0.2847585380077362,0.30086442828178406
2652,2,5,0.379888117313385,0.3972526788711548,0.23647625744342804
2653,1,1,,,0.19063913822174072
2654,2,1,0.32336312532424927,,0.48243945837020874
